x, y, th, ts, 
4.531976222991943, 0.930137038230896, 0.003852005555667889, 1732834284477726237, 
4.531976222991943, 0.9301375150680542, 0.003847235304305156, 1732834284574646029, 
4.531976222991943, 0.9301379323005676, 0.00384342406767533, 1732834284684802602, 
4.531976222991943, 0.9301382303237915, 0.003840563470808655, 1732834284777775339, 
4.531976222991943, 0.9301385283470154, 0.0038374647443419514, 1732834284876731359, 
4.531976222991943, 0.9301390051841736, 0.0038329338549220305, 1732834284973905882, 
4.531976222991943, 0.930139422416687, 0.00382888289950573, 1732834285084824183, 
4.531976222991943, 0.9301397204399109, 0.0038260211874102876, 1732834285177780648, 
4.531976222991943, 0.9301400184631348, 0.00382316141427091, 1732834285277739621, 
4.531976222991943, 0.930140495300293, 0.003818633061323225, 1732834285374283746, 
4.531976222991943, 0.9301409125328064, 0.0038148183710959576, 1732834285484919170, 
4.531976222991943, 0.9301412105560303, 0.0038119590958898037, 1732834285577784233, 
4.531976222991943, 0.9301415085792542, 0.0038093361062498414, 1732834285677738298, 
4.531976222991943, 0.9301419854164124, 0.003804806553623193, 1732834285773970783, 
4.531976222991943, 0.9301424026489258, 0.003800990870067924, 1732834285884838239, 
4.531976222991943, 0.9301427006721497, 0.003798129771529368, 1732834285977786478, 
4.531976222991943, 0.9301429986953735, 0.003795266316047256, 1732834286077752866, 
4.531976222991943, 0.9301434755325317, 0.0037904979100646078, 1732834286187070379, 
4.531976222991943, 0.9301438927650452, 0.003786681107644365, 1732834286284816977, 
4.531976222991943, 0.930144190788269, 0.003783820856956389, 1732834286377790778, 
4.531976222991943, 0.9301444888114929, 0.0037812000590098987, 1732834286477740437, 
4.531976222991943, 0.9301449656486511, 0.003776668892923158, 1732834286587413758, 
4.531976222991943, 0.9301453828811646, 0.003772852880438699, 1732834286683939453, 
4.531976222991943, 0.9301456809043884, 0.00377022913949891, 1732834286777793782, 
4.531976222991943, 0.9301459789276123, 0.003767605108078711, 1732834286877751718, 
4.531976222991943, 0.9301464557647705, 0.0037633140510578895, 1732834286974547822, 
4.531976222991943, 0.9301468729972839, 0.0037597380094953115, 1732834287084881580, 
4.531976222991943, 0.9301471710205078, 0.003757116778808787, 1732834287177797394, 
4.531976222991943, 0.9301474690437317, 0.003754256310562786, 1732834287277751077, 
4.531976222991943, 0.9301478862762451, 0.0037499674501656455, 1732834287387610747, 
4.531976222991943, 0.9301483035087585, 0.0037463936150092026, 1732834287484826029, 
4.531976222991943, 0.9301486015319824, 0.003743532492261166, 1732834287577801344, 
4.531976222991943, 0.9301488995552063, 0.003740908639458306, 1732834287677806084, 
4.531976222991943, 0.9301493763923645, 0.0037363772789807026, 1732834287774820327, 
4.531976222991943, 0.9301497936248779, 0.003732321276812776, 1732834287884007490, 
4.531976222991943, 0.9301500916481018, 0.0037294592100158286, 1732834287977852775, 
4.531976222991943, 0.9301503896713257, 0.0037265979087752277, 1732834288077761762, 
4.531976222991943, 0.9301508665084839, 0.0037218331835950635, 1732834288187514480, 
4.531976222991943, 0.9301512837409973, 0.003718022095108026, 1732834288283923063, 
4.531976222991943, 0.9301515817642212, 0.0037154020806242716, 1732834288377804380, 
4.531976222991943, 0.9301518797874451, 0.003712541421412825, 1732834288477854877, 
4.531976222991943, 0.9301523566246033, 0.00370825050736619, 1732834288587371000, 
4.531976222991943, 0.9301527738571167, 0.003704672463029446, 1732834288684836407, 
4.531976222991943, 0.9301530718803406, 0.003702048440002018, 1732834288777821464, 
4.531976222991943, 0.9301533699035645, 0.00369942488484023, 1732834288877765828, 
4.531976222991943, 0.9301538467407227, 0.0036948986566441777, 1732834288987595376, 
4.531976222991943, 0.9301542639732361, 0.0036913253200231465, 1732834289083920879, 
4.531976222991943, 0.93015456199646, 0.003688465255602853, 1732834289177810032, 
4.531976222991943, 0.9301548600196838, 0.0036858440744744424, 1732834289277772331, 
4.531976222991943, 0.930155336856842, 0.003681312009718203, 1732834289374755626, 
4.531976222991943, 0.9301557540893555, 0.00367749486425297, 1732834289484843756, 
4.531976222991943, 0.9301560521125793, 0.0036748705169937007, 1732834289577815999, 
4.531976222991943, 0.9301563501358032, 0.003672008652215075, 1732834289677784729, 
4.531976222991943, 0.9301567077636719, 0.0036679550545274274, 1732834289773930980, 
4.531976222991943, 0.9301568269729614, 0.0036670010206908935, 1732834289817109415, 
4.531976222991943, 0.9301574230194092, 0.003661757486361378, 1732834289976998862, 
4.531976222991943, 0.9301577210426331, 0.0036591341986700813, 1732834290076918464, 
4.531976222991943, 0.9301581382751465, 0.003655081696008085, 1732834290187640410, 
4.531976222991943, 0.9301584959030151, 0.0036517439735856668, 1732834290285846515, 
4.531976222991943, 0.930158793926239, 0.003649123457249553, 1732834290378003656, 
4.531976222991943, 0.9301590919494629, 0.003646499733131498, 1732834290477854493, 
4.531976222991943, 0.9301595687866211, 0.0036422076847902325, 1732834290575339430, 
4.531976222991943, 0.9301599860191345, 0.0036383924981336505, 1732834290684972966, 
4.531976222991943, 0.9301602840423584, 0.0036357702709960416, 1732834290777010775, 
4.531976222991943, 0.9301605820655823, 0.0036326719246351316, 1732834290877782258, 
4.531976222991943, 0.9301609992980957, 0.003628381597537207, 1732834290975305947, 
4.531976222991943, 0.9301614165306091, 0.0036245679842090224, 1732834291085300077, 
4.531976222991943, 0.9301616549491882, 0.0036214693826121134, 1732834291177883502, 
4.531976222991943, 0.9301618933677673, 0.003619325813095434, 1732834291276920821, 
4.531976222991943, 0.9301623702049255, 0.0036147949151353904, 1732834291375622201, 
4.531976222991943, 0.930162787437439, 0.003611217879498168, 1732834291485319439, 
4.531976222991943, 0.9301630854606628, 0.0036085947291810945, 1732834291577895348, 
4.531976222991943, 0.9301633834838867, 0.0036057344478430254, 1732834291677867277, 
4.531976222991943, 0.9301638603210449, 0.0036014433105567363, 1732834291775111973, 
4.531976222991943, 0.930164098739624, 0.0035995348909453246, 1732834291837576676, 
4.531976222991943, 0.9301642775535583, 0.003597865828942487, 1732834291884998120, 
4.531976222991943, 0.9301645755767822, 0.0035952436067600126, 1732834291977881395, 
4.531976222991943, 0.9301648736000061, 0.003592623275005148, 1732834292077007034, 
4.531976222991943, 0.9301653504371643, 0.003588094370752938, 1732834292175368228, 
4.531976222991943, 0.9301657676696777, 0.0035842802429021958, 1732834292285074647, 
4.531976222991943, 0.9301660656929016, 0.0035816570945100415, 1732834292377867090, 
4.531976222991943, 0.9301663637161255, 0.0035787944109300887, 1732834292476906777, 
4.531975269317627, 0.9301677942276001, 0.0035649667913267035, 1732834292588186827, 
4.532364845275879, 0.9298194050788879, -0.03957167822701825, 1732834292685247206, 
4.53425407409668, 0.9290388822555542, -0.14966757446312817, 1732834292777016999, 
4.537671089172363, 0.9278631210327148, -0.3214499736807293, 1732834292877154440, 
4.541838645935059, 0.9261878728866577, -0.5451500874349925, 1732834292988208262, 
4.544837951660156, 0.9242513179779053, -0.7306868656779386, 1732834293085892754, 
4.547694683074951, 0.9218428730964661, -0.906443758662666, 1732834293177004834, 
4.548719882965088, 0.9193626642227173, -1.0974607886395116, 1732834293276951571, 
4.55040168762207, 0.9167494177818298, -1.2838512675928617, 1732834293375265231, 
4.551446914672852, 0.912693440914154, -1.4944422699390318, 1732834293485058579, 
4.5515947341918945, 0.9075733423233032, -1.6734599175983182, 1732834293577127940, 
4.550207614898682, 0.9003000259399414, -1.8656626195129147, 1732834293676954011, 
4.546891212463379, 0.8930786848068237, -2.049792368983335, 1732834293775633646, 
4.542184829711914, 0.8861755132675171, -2.258788378597232, 1732834293885666054, 
4.536436557769775, 0.8801846504211426, -2.4187237529909797, 1732834293977884162, 
4.528641223907471, 0.8741007447242737, -2.56409328113308, 1732834294077811451, 
4.520452499389648, 0.8695696592330933, -2.697449877352721, 1732834294175314859, 
4.510135650634766, 0.8659613728523254, -2.8591182098355623, 1732834294284949911, 
4.502004146575928, 0.8634321689605713, -2.9592196575294936, 1732834294378863471, 
4.488681316375732, 0.8617797493934631, -3.0537724495378424, 1732834294476951061, 
4.474664688110352, 0.8608373999595642, 3.131358384870854, 1732834294587849026, 
4.4659810066223145, 0.8604933619499207, 3.103025438836276, 1732834294684899335, 
4.457437038421631, 0.8611122369766235, 3.07672215190832, 1732834294777864190, 
4.447203636169434, 0.8613693714141846, 3.081621648893235, 1732834294877820352, 
4.438464164733887, 0.8613033890724182, -3.1355881679894186, 1732834294975039069, 
4.427432060241699, 0.8612333536148071, -3.0872817030776085, 1732834295084952979, 
4.418235778808594, 0.8605033159255981, -3.0483455678933815, 1732834295177866199, 
4.408496379852295, 0.8593177795410156, -2.998447162240551, 1732834295277817979, 
4.398786544799805, 0.8577992916107178, -2.9494481313624012, 1732834295375054325, 
4.388112545013428, 0.8553783893585205, -2.89666726800332, 1732834295485001065, 
4.3793840408325195, 0.8530058860778809, -2.8504288645486033, 1732834295577876496, 
4.36866569519043, 0.8501021862030029, -2.837347980035552, 1732834295678827779, 
4.358814239501953, 0.8471837043762207, -2.8571583429387086, 1732834295787583292, 
4.349605083465576, 0.8444859385490417, -2.858473322195415, 1732834295884924266, 
4.34098482131958, 0.8421640396118164, -2.860495058329066, 1732834295978099022, 
4.331150531768799, 0.8392918705940247, -2.8719677709770557, 1732834296076903120, 
4.320645332336426, 0.8363362550735474, -2.885587234769352, 1732834296188372062, 
4.310762405395508, 0.8341628313064575, -2.9306707603141104, 1732834296285503153, 
4.3021745681762695, 0.8322012424468994, -2.978156567054214, 1732834296378026734, 
4.292640686035156, 0.8308744430541992, -3.0070831849521076, 1732834296477399885, 
4.283552169799805, 0.8296467661857605, -3.0233700503547585, 1732834296575178040, 
4.272884845733643, 0.8277830481529236, -2.999180769755404, 1732834296684903567, 
4.2639899253845215, 0.8261417746543884, -2.9443135286989, 1732834296778042479, 
4.253613471984863, 0.8241705894470215, -2.9179541819846304, 1732834296878834633, 
4.244848728179932, 0.8218122720718384, -2.8972959962270135, 1732834296975860786, 
4.234057903289795, 0.8190362453460693, -2.8471052815856157, 1732834297084925402, 
4.22556209564209, 0.8163841962814331, -2.7980058215827635, 1732834297178883885, 
4.216523170471191, 0.8129436373710632, -2.7445889300337414, 1732834297277840037, 
4.20778226852417, 0.8091530203819275, -2.6962974261740364, 1732834297375824148, 
4.198098182678223, 0.804301381111145, -2.6510643559341704, 1732834297484922993, 
4.190014362335205, 0.7998715043067932, -2.611437596894869, 1732834297578088869, 
4.181328296661377, 0.7943283915519714, -2.5633156024256447, 1732834297677842456, 
4.173458099365234, 0.7890487909317017, -2.5131092375331354, 1732834297775595698, 
4.164652347564697, 0.782439649105072, -2.471378351703991, 1732834297884911642, 
4.157639026641846, 0.7769189476966858, -2.446523750810541, 1732834297978895847, 
4.150193691253662, 0.7703248262405396, -2.4218152987560555, 1732834298077855627, 
4.14251184463501, 0.7636387944221497, -2.393805891277751, 1732834298175503245, 
4.1346845626831055, 0.7562262415885925, -2.3722558126360296, 1732834298285092115, 
4.128287315368652, 0.7497838735580444, -2.3612365109483577, 1732834298377896350, 
4.121025085449219, 0.7426086664199829, -2.351622145764288, 1732834298477850053, 
4.114191055297852, 0.7358638048171997, -2.3489499143485513, 1732834298575638062, 
4.106781482696533, 0.7284204363822937, -2.344509125674736, 1732834298685171026, 
4.100407600402832, 0.7216813564300537, -2.339214078463568, 1732834298777911273, 
4.093415260314941, 0.7143500447273254, -2.3367929811695896, 1732834298877889551, 
4.086805820465088, 0.7076594829559326, -2.339354065320762, 1732834298975539920, 
4.07918643951416, 0.6999434232711792, -2.3419713008801897, 1732834299086242858, 
4.072871685028076, 0.6936569809913635, -2.3423140915454006, 1732834299178076063, 
4.065873622894287, 0.6866423487663269, -2.341858050101016, 1732834299278002719, 
4.059450626373291, 0.6800087094306946, -2.3418488414442247, 1732834299375035464, 
4.053022861480713, 0.6732705235481262, -2.3406646385129086, 1732834299468302100, 
4.045201301574707, 0.6654111742973328, -2.339264004586814, 1732834299578022238, 
4.038500785827637, 0.6584765315055847, -2.339800077641916, 1732834299678107393, 
4.030635833740234, 0.6504056453704834, -2.3392581767403287, 1732834299788562224, 
4.02510404586792, 0.6446595788002014, -2.336929254738768, 1732834299868126391, 
4.017876148223877, 0.6368550062179565, -2.330982593255336, 1732834299977909787, 
4.011045932769775, 0.6298176646232605, -2.329158738988245, 1732834300077860120, 
4.004410266876221, 0.6228495836257935, -2.325763781379217, 1732834300175301943, 
3.9984142780303955, 0.6161559224128723, -2.3238801395674646, 1732834300268006399, 
3.9907071590423584, 0.6081961393356323, -2.323170597504244, 1732834300378408119, 
3.984076976776123, 0.6008741855621338, -2.3233690370282054, 1732834300477953619, 
3.9764328002929688, 0.5927311182022095, -2.321675049568114, 1732834300588868820, 
3.9701082706451416, 0.5858958959579468, -2.3215510551210365, 1732834300685559599, 
3.9640305042266846, 0.579500675201416, -2.3237233774159454, 1732834300778160642, 
3.957174062728882, 0.5721638798713684, -2.3250324620523215, 1732834300876963516, 
3.950700044631958, 0.5652855634689331, -2.3261421004812157, 1732834300975357840, 
3.9444258213043213, 0.5586674809455872, -2.3253908131174224, 1732834301068781777, 
3.936915397644043, 0.5508410334587097, -2.3285518588556986, 1732834301178041606, 
3.9301886558532715, 0.5435819625854492, -2.330046616734078, 1732834301278077818, 
3.923696517944336, 0.536622166633606, -2.33332410796966, 1732834301375329120, 
3.9161417484283447, 0.5288549661636353, -2.3338294770251524, 1732834301485342679, 
3.909868001937866, 0.5223912596702576, -2.3359186176696363, 1732834301578006251, 
3.902726411819458, 0.5153143405914307, -2.3368277902095906, 1732834301678072478, 
3.8962221145629883, 0.5085629820823669, -2.3393531979968842, 1732834301775160584, 
3.888749837875366, 0.5010674595832825, -2.3414431931103548, 1732834301884941850, 
3.8822062015533447, 0.49456116557121277, -2.34318616714157, 1732834301978014779, 
3.8752009868621826, 0.4873955547809601, -2.3450938593726405, 1732834302078038886, 
3.8687589168548584, 0.4806501567363739, -2.3454822798840786, 1732834302175332854, 
3.864759683609009, 0.47675591707229614, -2.3452899476821614, 1732834302285601030, 
3.865203380584717, 0.4769989252090454, -2.347112831100297, 1732834302378046951, 
3.8643665313720703, 0.4763352572917938, -2.3467817507587196, 1732834302428079451, 
3.851851224899292, 0.463559627532959, -2.346986418429211, 1732834302588671188, 
3.8454437255859375, 0.4570436477661133, -2.3465888462838187, 1732834302685243286, 
3.839296817779541, 0.4509325325489044, -2.346752356031467, 1732834302778021597, 
3.8322958946228027, 0.44391679763793945, -2.347062851194981, 1732834302878056195, 
3.8281776905059814, 0.4398494362831116, -2.3476851337008795, 1732834302975265997, 
